Produits et groupes de produits;Unité;Janv. 2022;Févr. 2022;mars-22;Avr. 2022;mai-22;juin-22;Juil. 2022;Aout 2022;Sept. 2022;Oct. 2022;Nov. 2022;Déc. 2022;Janv. 2023;Févr. 2023;mars-23;Avr. 2023;mai-23;juin-23;Juil. 2023;Aout 2023;Sept. 2023;Oct. 2023;Nov. 2023;Déc. 2023
      Achat et location à bail de véhicules automobiles;Variation annuelle en %;5;4.2;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
      Utilisation de véhicules automobiles;Indice;190.3;196.5;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
      Utilisation de véhicules automobiles;Variation annuelle en %;13.7;15;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
        Essence;Indice;210.8;226.5;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
        Essence;Variation annuelle en %;33.8;36;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
  Soins de santé et soins personnels;Indice;134.9;135.8;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
  Soins de santé et soins personnels;Variation annuelle en %;2.7;3.7;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
        Médicaments et produits pharmaceutiques;Indice;104.9;104.4;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
        Médicaments et produits pharmaceutiques;Variation annuelle en %;1.8;2.1;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
  Loisirs. formation et lecture;Indice;108.6;110.3;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
  Loisirs. formation et lecture;Variation annuelle en %;2.9;4.5;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
  Boissons alcoolisées. produits du tabac et cannabis récréatif;Indice;172.3;172.6;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
  Boissons alcoolisées. produits du tabac et cannabis récréatif;Variation annuelle en %;5.6;4.8;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Ensemble excluant les aliments;Indice;136.3;137.5;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Ensemble excluant les aliments;Variation annuelle en %;5;5.2;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Ensemble excluant les aliments et l'énergie;Indice;132.3;133;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Ensemble excluant les aliments et l'énergie;Variation annuelle en %;3.8;3.8;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Ensemble excluant les boissons alcoolisées. les produits du tabac et articles pour fumeurs et le cannabis récréatif;Indice;139.8;141.4;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Ensemble excluant les boissons alcoolisées. les produits du tabac et articles pour fumeurs et le cannabis récréatif;Variation annuelle en %;5;5.4;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Ensemble excluant les boissons alcoolisées et le cannabis récréatif;Indice;138.3;139.4;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Ensemble excluant les boissons alcoolisées et le cannabis récréatif;Variation annuelle en %;4.1;4.3;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Ensemble excluant les produits du tabac et articles pour fumeurs et le cannabis récréatif;Indice;138.5;139.7;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Ensemble excluant les produits du tabac et articles pour fumeurs et le cannabis récréatif;Variation annuelle en %;4.1;4.4;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Ensemble excluant l'énergie;Indice;165.8;170.3;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Ensemble excluant l'énergie;Variation annuelle en %;9.3;10.4;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Ensemble excluant l'essence;Indice;153.1;155.7;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Ensemble excluant l'essence;Variation annuelle en %;5.2;1.8;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Aliments et énergie;Indice;171.9;180.2;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Aliments et énergie;Variation annuelle en %;20.1;21.9;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Fruits et légumes frais;Indice;131.8;134.1;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Fruits et légumes frais;Variation annuelle en %;6.5;6.9;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Énergie;Indice;98.5;99.9;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Énergie;Variation annuelle en %;4.6;5.2;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
  Biens;Indice;98.6;99.5;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
  Biens;Variation annuelle en %;2.2;1.4;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
    Biens durables;Indice;157.7;161;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
    Biens durables;Variation annuelle en %;8.7;9.2;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
    Biens semi-durables;Indice;151.4;152;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
    Biens semi-durables;Variation annuelle en %;3.6;3.8;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
    Biens non durables;Indice;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
    Biens non durables;Variation annuelle en %;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
  Services;Indice;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
  Services;Variation annuelle en %;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
