"Élément statistique";"1er niveau de détail";"Temps";"Unité de mesure";"Valeur numérique"
"Dépenses de consommation finale des ménages par type de dépenses";"Biens non durables";"3e trim. 2020";"M$";"70522"
"Dépenses de consommation finale des ménages par type de dépenses";"Biens non durables";"4e trim. 2020";"M$";"71073"
"Dépenses de consommation finale des ménages par type de dépenses";"Biens non durables";"1er trim. 2021";"M$";"72561"
"Dépenses de consommation finale des ménages par type de dépenses";"Biens non durables";"2e trim. 2021";"M$";"72279"
"Dépenses de consommation finale des ménages par type de dépenses";"Biens non durables";"3e trim. 2021";"M$";"75526"
"Dépenses de consommation finale des ménages par type de dépenses";"Biens non durables";"4e trim. 2021";"M$";"76590"
"Dépenses de consommation finale des ménages par type de dépenses";"Services";"4e trim. 2018";"M$";"133661.0"
"Dépenses de consommation finale des ménages par type de dépenses";"Services";"1er trim. 2019";"M$";"134895.0"
"Dépenses de consommation finale des ménages par type de dépenses";"Services";"2e trim. 2019";"M$";"136028.0"
"Dépenses de consommation finale des ménages par type de dépenses";"Services";"3e trim. 2019";"M$";"137460.0"
"Dépenses de consommation finale des ménages par type de dépenses";"Services";"4e trim. 2019";"M$";"139161.0"
"Dépenses de consommation finale des ménages par type de dépenses";"Services";"1er trim. 2020";"M$";"134952.0"
"Dépenses de consommation finale des ménages par type de dépenses";"Services";"2e trim. 2020";"M$";"110988.0"
"Dépenses de consommation finale des ménages par type de dépenses";"Services";"3e trim. 2020";"M$";"124114.0"
"Dépenses de consommation finale des ménages par type de dépenses";"Services";"4e trim. 2020";"M$";"122582.0"
"Dépenses de consommation finale des ménages par type de dépenses";"Services";"1er trim. 2021";"M$";"124252.0"
"Dépenses de consommation finale des ménages par type de dépenses";"Services";"2e trim. 2021";"M$";"128727.0"
"Dépenses de consommation finale des ménages par type de dépenses";"Services";"3e trim. 2021";"M$";"139095.0"
"Dépenses de consommation finale des ménages par type de dépenses";"Services";"4e trim. 2021";"M$";"141106.0"
