"Compte des ménages, données trimestrielles désaisonnalisées au taux annuel, Québec (24 mars 2022)"
"Élément statistique";"1er niveau de détail";"Temps";"Unité de mesure";"Valeur numérique"
"Compte des ménages";"Taux d'épargne des ménages en pourcentage du revenu disponible des ménages";"2e trim. 2019";"%";"6,3"
"Compte des ménages";"Taux d'épargne des ménages en pourcentage du revenu disponible des ménages";"3e trim. 2019";"%";"7,1"
"Compte des ménages";"Taux d'épargne des ménages en pourcentage du revenu disponible des ménages";"4e trim. 2019";"%";"8,6"
"Compte des ménages";"Taux d'épargne des ménages en pourcentage du revenu disponible des ménages";"1er trim. 2020";"%";"12,6"
"Compte des ménages";"Taux d'épargne des ménages en pourcentage du revenu disponible des ménages";"2e trim. 2020";"%";"30,4"
"Compte des ménages";"Taux d'épargne des ménages en pourcentage du revenu disponible des ménages";"3e trim. 2020";"%";"16,9"
"Compte des ménages";"Taux d'épargne des ménages en pourcentage du revenu disponible des ménages";"4e trim. 2020";"%";"16,8"
"Compte des ménages";"Taux d'épargne des ménages en pourcentage du revenu disponible des ménages";"1er trim. 2021";"%";"16,5"
"Compte des ménages";"Taux d'épargne des ménages en pourcentage du revenu disponible des ménages";"2e trim. 2021";"%";"21,1"
"Compte des ménages";"Taux d'épargne des ménages en pourcentage du revenu disponible des ménages";"3e trim. 2021";"%";"17,6"
"Compte des ménages";"Taux d'épargne des ménages en pourcentage du revenu disponible des ménages";"4e trim. 2021";"%";"14,3"
