Élément statistique;1er niveau de détail;Temps;Unité de mesure;Valeur numérique;Note
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);août-20;M$ enchaînés de 2012;366047.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);sept-20;M$ enchaînés de 2012;370926;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);oct-20;M$ enchaînés de 2012;370720.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);nov-20;M$ enchaînés de 2012;373123.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);déc-20;M$ enchaînés de 2012;373443.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);janv-21;M$ enchaînés de 2012;373102.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);févr-21;M$ enchaînés de 2012;375198;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);mars-21;M$ enchaînés de 2012;379940.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);avr-21;M$ enchaînés de 2012;377134;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);mai-21;M$ enchaînés de 2012;377153.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);juin-21;M$ enchaînés de 2012;380596.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);juil-21;M$ enchaînés de 2012;379410.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);août-21;M$ enchaînés de 2012;383877.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);sept-21;M$ enchaînés de 2012;382391.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);oct-21;M$ enchaînés de 2012;383717.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Total (Ensemble des industries);nov-21;M$ enchaînés de 2012;388185.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;janv-17;M$ enchaînés de 2012;95478.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;févr-17;M$ enchaînés de 2012;95251.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;mars-17;M$ enchaînés de 2012;96733;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;avr-17;M$ enchaînés de 2012;97668.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;mai-17;M$ enchaînés de 2012;96680.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;juin-17;M$ enchaînés de 2012;97011.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;juil-17;M$ enchaînés de 2012;100109.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;août-17;M$ enchaînés de 2012;97722.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;sept-17;M$ enchaînés de 2012;99037;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;oct-17;M$ enchaînés de 2012;98874;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;nov-17;M$ enchaînés de 2012;99315.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;déc-17;M$ enchaînés de 2012;98251.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;janv-18;M$ enchaînés de 2012;99697.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;févr-18;M$ enchaînés de 2012;99728.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;mars-18;M$ enchaînés de 2012;101641.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;avr-18;M$ enchaînés de 2012;101000.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;mai-18;M$ enchaînés de 2012;100840.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;juin-18;M$ enchaînés de 2012;100505.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;juil-18;M$ enchaînés de 2012;101145.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;août-18;M$ enchaînés de 2012;100912.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;sept-18;M$ enchaînés de 2012;100212.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;oct-18;M$ enchaînés de 2012;100907.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;nov-18;M$ enchaînés de 2012;101847.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;déc-18;M$ enchaînés de 2012;102776.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;janv-19;M$ enchaînés de 2012;102722.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;févr-19;M$ enchaînés de 2012;102740.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;mars-19;M$ enchaînés de 2012;104264.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Secteur producteur de biens;avr-19;M$ enchaînés de 2012;103558;
