Élément statistique;1er niveau de détail;Temps;Unité de mesure;Valeur numérique;Note
Produit intérieur brut réel aux prix de base. désaisonnalisé ;......Construction résidentielle (2361);déc-18;M$ enchaînés de 2012;9151.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;......Construction résidentielle (2361);janv-19;M$ enchaînés de 2012;9562.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;......Construction résidentielle (2361);févr-19;M$ enchaînés de 2012;9550.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;......Construction résidentielle (2361);mars-19;M$ enchaînés de 2012;9576.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;......Construction résidentielle (2361);avr-19;M$ enchaînés de 2012;9162.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;......Construction résidentielle (2361);mai-19;M$ enchaînés de 2012;9012.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;......Construction résidentielle (2361);juin-19;M$ enchaînés de 2012;9028.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;......Construction résidentielle (2361);juil-19;M$ enchaînés de 2012;9124;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;......Construction résidentielle (2361);août-19;M$ enchaînés de 2012;9303.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;......Construction résidentielle (2361);sept-19;M$ enchaînés de 2012;9633.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;......Construction résidentielle (2361);oct-19;M$ enchaînés de 2012;9357.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;......Construction résidentielle (2361);nov-19;M$ enchaînés de 2012;9358;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;......Construction résidentielle (2361);déc-19;M$ enchaînés de 2012;9614.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;......Construction résidentielle (2361);janv-20;M$ enchaînés de 2012;10028.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;......Construction résidentielle (2361);févr-20;M$ enchaînés de 2012;9541.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;......Construction résidentielle (2361);mars-20;M$ enchaînés de 2012;7987.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;......Construction résidentielle (2361);avr-20;M$ enchaînés de 2012;4366.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;......Construction résidentielle (2361);mai-20;M$ enchaînés de 2012;8259.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;......Construction résidentielle (2361);juin-20;M$ enchaînés de 2012;8950.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;......Construction résidentielle (2361);juil-20;M$ enchaînés de 2012;9617.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;......Construction résidentielle (2361);août-20;M$ enchaînés de 2012;10445.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;......Construction résidentielle (2361);sept-20;M$ enchaînés de 2012;10736.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;......Construction résidentielle (2361);oct-20;M$ enchaînés de 2012;10614.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;......Construction résidentielle (2361);nov-20;M$ enchaînés de 2012;10991.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;......Construction résidentielle (2361);déc-20;M$ enchaînés de 2012;11061.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;......Construction résidentielle (2361);janv-21;M$ enchaînés de 2012;11993.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;......Construction résidentielle (2361);févr-21;M$ enchaînés de 2012;11235.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;......Construction résidentielle (2361);mars-21;M$ enchaînés de 2012;11432.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;......Construction résidentielle (2361);avr-21;M$ enchaînés de 2012;11424.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;......Construction résidentielle (2361);mai-21;M$ enchaînés de 2012;11893;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;......Construction résidentielle (2361);juin-21;M$ enchaînés de 2012;10807.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;......Construction résidentielle (2361);juil-21;M$ enchaînés de 2012;10655.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;......Construction résidentielle (2361);août-21;M$ enchaînés de 2012;11333;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;......Construction résidentielle (2361);sept-21;M$ enchaînés de 2012;11337.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;......Construction résidentielle (2361);oct-21;M$ enchaînés de 2012;11881.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;......Construction résidentielle (2361);nov-21;M$ enchaînés de 2012;12556.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;janv-17;M$ enchaînés de 2012;47254.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;févr-17;M$ enchaînés de 2012;46830.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;mars-17;M$ enchaînés de 2012;47095.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;avr-17;M$ enchaînés de 2012;47754.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;mai-17;M$ enchaînés de 2012;47737.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;juin-17;M$ enchaînés de 2012;47770.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;juil-17;M$ enchaînés de 2012;49561.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;août-17;M$ enchaînés de 2012;48323.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;sept-17;M$ enchaînés de 2012;48183.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;oct-17;M$ enchaînés de 2012;48813.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;nov-17;M$ enchaînés de 2012;48500.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;déc-17;M$ enchaînés de 2012;48064.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;janv-18;M$ enchaînés de 2012;48568.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;févr-18;M$ enchaînés de 2012;48896.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;mars-18;M$ enchaînés de 2012;49724.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;avr-18;M$ enchaînés de 2012;49733.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;mai-18;M$ enchaînés de 2012;49569.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;juin-18;M$ enchaînés de 2012;49876.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;juil-18;M$ enchaînés de 2012;49955.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;août-18;M$ enchaînés de 2012;49490.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;sept-18;M$ enchaînés de 2012;49090.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;oct-18;M$ enchaînés de 2012;49060.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;nov-18;M$ enchaînés de 2012;49344;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;déc-18;M$ enchaînés de 2012;50053.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;janv-19;M$ enchaînés de 2012;49666.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;févr-19;M$ enchaînés de 2012;50479.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;mars-19;M$ enchaînés de 2012;51068.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;avr-19;M$ enchaînés de 2012;50487.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;mai-19;M$ enchaînés de 2012;51487.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;juin-19;M$ enchaînés de 2012;50241.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;juil-19;M$ enchaînés de 2012;50108.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;août-19;M$ enchaînés de 2012;50369.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;sept-19;M$ enchaînés de 2012;50262.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;oct-19;M$ enchaînés de 2012;50464.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;nov-19;M$ enchaînés de 2012;50006.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;déc-19;M$ enchaînés de 2012;49404.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;janv-20;M$ enchaînés de 2012;49913.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;févr-20;M$ enchaînés de 2012;47974.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;mars-20;M$ enchaînés de 2012;44739;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;avr-20;M$ enchaînés de 2012;36783.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;mai-20;M$ enchaînés de 2012;40594.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;juin-20;M$ enchaînés de 2012;43735.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;juil-20;M$ enchaînés de 2012;44931.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;août-20;M$ enchaînés de 2012;46843.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;sept-20;M$ enchaînés de 2012;46842.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;oct-20;M$ enchaînés de 2012;46173.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;nov-20;M$ enchaînés de 2012;47984.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;déc-20;M$ enchaînés de 2012;47590;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;janv-21;M$ enchaînés de 2012;46821.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;févr-21;M$ enchaînés de 2012;46836.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;mars-21;M$ enchaînés de 2012;47590.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;avr-21;M$ enchaînés de 2012;46669.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;mai-21;M$ enchaînés de 2012;46572.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;juin-21;M$ enchaînés de 2012;48130;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;juil-21;M$ enchaînés de 2012;46656.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;août-21;M$ enchaînés de 2012;47737.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;sept-21;M$ enchaînés de 2012;47294.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;oct-21;M$ enchaînés de 2012;46851.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;Fabrication;nov-21;M$ enchaînés de 2012;47621;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);janv-17;M$ enchaînés de 2012;5850.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);févr-17;M$ enchaînés de 2012;6048.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);mars-17;M$ enchaînés de 2012;6144.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);avr-17;M$ enchaînés de 2012;6146.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);mai-17;M$ enchaînés de 2012;6022.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);juin-17;M$ enchaînés de 2012;6162.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);juil-17;M$ enchaînés de 2012;6329;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);août-17;M$ enchaînés de 2012;6390.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);sept-17;M$ enchaînés de 2012;6276.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);oct-17;M$ enchaînés de 2012;6274.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);nov-17;M$ enchaînés de 2012;6324.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);déc-17;M$ enchaînés de 2012;6157.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);janv-18;M$ enchaînés de 2012;6398.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);févr-18;M$ enchaînés de 2012;6275.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);mars-18;M$ enchaînés de 2012;6027.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);avr-18;M$ enchaînés de 2012;6210.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);mai-18;M$ enchaînés de 2012;6059.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);juin-18;M$ enchaînés de 2012;6270.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);juil-18;M$ enchaînés de 2012;6151.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);août-18;M$ enchaînés de 2012;6016.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);sept-18;M$ enchaînés de 2012;5999.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);oct-18;M$ enchaînés de 2012;5917.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);nov-18;M$ enchaînés de 2012;6065.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);déc-18;M$ enchaînés de 2012;6109.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);janv-19;M$ enchaînés de 2012;6019.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);févr-19;M$ enchaînés de 2012;5965.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);mars-19;M$ enchaînés de 2012;6074.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);avr-19;M$ enchaînés de 2012;6063.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);mai-19;M$ enchaînés de 2012;6435.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);juin-19;M$ enchaînés de 2012;6154.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);juil-19;M$ enchaînés de 2012;6047.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);août-19;M$ enchaînés de 2012;5809.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);sept-19;M$ enchaînés de 2012;6070.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);oct-19;M$ enchaînés de 2012;6195.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);nov-19;M$ enchaînés de 2012;5950;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);déc-19;M$ enchaînés de 2012;6076.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);janv-20;M$ enchaînés de 2012;6069.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);févr-20;M$ enchaînés de 2012;5824.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);mars-20;M$ enchaînés de 2012;6027.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);avr-20;M$ enchaînés de 2012;5327.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);mai-20;M$ enchaînés de 2012;5309.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);juin-20;M$ enchaînés de 2012;5494.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);juil-20;M$ enchaînés de 2012;5603.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);août-20;M$ enchaînés de 2012;5808.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);sept-20;M$ enchaînés de 2012;5833.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);oct-20;M$ enchaînés de 2012;5877;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);nov-20;M$ enchaînés de 2012;5861.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);déc-20;M$ enchaînés de 2012;5900;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);janv-21;M$ enchaînés de 2012;5999.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);févr-21;M$ enchaînés de 2012;5835.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);mars-21;M$ enchaînés de 2012;5607.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);avr-21;M$ enchaînés de 2012;5724.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);mai-21;M$ enchaînés de 2012;5750.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);juin-21;M$ enchaînés de 2012;5998.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);juil-21;M$ enchaînés de 2012;5911.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);août-21;M$ enchaînés de 2012;6021;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);sept-21;M$ enchaînés de 2012;6162.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);oct-21;M$ enchaînés de 2012;6279.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication d'aliments (311);nov-21;M$ enchaînés de 2012;6218.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);janv-17;M$ enchaînés de 2012;1982.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);févr-17;M$ enchaînés de 2012;2006.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);mars-17;M$ enchaînés de 2012;2029;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);avr-17;M$ enchaînés de 2012;2014.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);mai-17;M$ enchaînés de 2012;1996.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);juin-17;M$ enchaînés de 2012;1932.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);juil-17;M$ enchaînés de 2012;1975.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);août-17;M$ enchaînés de 2012;1996.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);sept-17;M$ enchaînés de 2012;1909.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);oct-17;M$ enchaînés de 2012;2047.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);nov-17;M$ enchaînés de 2012;2042.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);déc-17;M$ enchaînés de 2012;2078.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);janv-18;M$ enchaînés de 2012;1846.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);févr-18;M$ enchaînés de 2012;1912;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);mars-18;M$ enchaînés de 2012;1967.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);avr-18;M$ enchaînés de 2012;1927.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);mai-18;M$ enchaînés de 2012;2017.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);juin-18;M$ enchaînés de 2012;1983.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);juil-18;M$ enchaînés de 2012;2065.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);août-18;M$ enchaînés de 2012;1995.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);sept-18;M$ enchaînés de 2012;2060.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);oct-18;M$ enchaînés de 2012;1973;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);nov-18;M$ enchaînés de 2012;1941.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);déc-18;M$ enchaînés de 2012;2025.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);janv-19;M$ enchaînés de 2012;1978.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);févr-19;M$ enchaînés de 2012;2026.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);mars-19;M$ enchaînés de 2012;1984;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);avr-19;M$ enchaînés de 2012;1978.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);mai-19;M$ enchaînés de 2012;1878;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);juin-19;M$ enchaînés de 2012;1871.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);juil-19;M$ enchaînés de 2012;1884.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);août-19;M$ enchaînés de 2012;1865;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);sept-19;M$ enchaînés de 2012;1846.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);oct-19;M$ enchaînés de 2012;1925.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);nov-19;M$ enchaînés de 2012;1853;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);déc-19;M$ enchaînés de 2012;1642.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);janv-20;M$ enchaînés de 2012;1761;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);févr-20;M$ enchaînés de 2012;1907.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);mars-20;M$ enchaînés de 2012;1912;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);avr-20;M$ enchaînés de 2012;1575.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);mai-20;M$ enchaînés de 2012;1786;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);juin-20;M$ enchaînés de 2012;1994.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);juil-20;M$ enchaînés de 2012;1900.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);août-20;M$ enchaînés de 2012;1948.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);sept-20;M$ enchaînés de 2012;2001.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);oct-20;M$ enchaînés de 2012;1913.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);nov-20;M$ enchaînés de 2012;1966.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);déc-20;M$ enchaînés de 2012;1855.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);janv-21;M$ enchaînés de 2012;1899.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);févr-21;M$ enchaînés de 2012;1831.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);mars-21;M$ enchaînés de 2012;1899.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);avr-21;M$ enchaînés de 2012;1939.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);mai-21;M$ enchaînés de 2012;2038.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);juin-21;M$ enchaînés de 2012;2018;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);juil-21;M$ enchaînés de 2012;1848.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);août-21;M$ enchaînés de 2012;1918.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);sept-21;M$ enchaînés de 2012;1808;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);oct-21;M$ enchaînés de 2012;1877.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;....Fabrication de boissons et de produits du tabac (312);nov-21;M$ enchaînés de 2012;1960.7;
